"This video can not be played Robert Jenrick's plans to use military bases ""being disposed of"" face criticism from both sides of the Commons. Three sites including two ex-military bases will be used as migrant housing in a bid to cut down on hotel use. Sites in Lincolnshire and Essex, plus another in East Sussex, could house ""several thousand"", Immigration Minister Robert Jenrick said. The government is ""exploring the possibility"" of using ferries but no firm decision has been taken, he said. Labour shadow home secretary Yvette Cooper said the announcement was ""an admission of failure"" on asylum policy. The plans are likely to meet local opposition and have been criticised by MPs whose constituencies are impacted, with one Conservative warning the government a legal challenge would be launched. Mr Jenrick told the Commons ""the sheer number of small boats have overwhelmed the asylum system"" and said the government would ""not elevate the wellbeing of illegal migrants above the British people"". ""Accommodation for migrants should meet essential living needs and nothing more, because we cannot risk becoming a magnet for the millions of people who are displaced and seeking better economic prospects,"" he added. Mr Jenrick said the three new sites will help reduce the need to rely on private hotels but conceded that ""these sites on their own will not end the use of hotels overnight"". He also revealed barracks at Catterick Garrison in Prime Minister Rishi Sunak's constituency was being assessed for suitability as potential accommodation. Later, bosses of a commercial port on the Dorset coast in southern England said the Home Office had asked it to provide space for an ""accommodation facility"". Bill Reeves, chief executive of Portland Port, said: ""We are currently liaising with the Home Office about the next steps."" Conservative-led Dorset Council has said it has ""serious concerns"" about the location. There had been media speculation the government could announce plans to use vessels to house migrants, but it wasn't included in what the minister called the ""first tranche"" of housing options. The government says £6.2m a day is being spent on hotels for migrants and areas with high concentrations of people face a strain on local services. The BBC understands more than 51,000 people are currently being housed in 395 hotels.  Mr Jenrick said new funding would be made available for local authorities to help deal with costs. This video can not be played Plans include housing migrants at RAF Wethersfield in Essex The BBC understands necessary planning changes has been secured to repurpose military sites in Lincolnshire and Essex, and both could be used to house people who enter the country illegally within weeks. Mr Jenrick did not name the individual sites during his Commons statement but their locations have previously been reported. Use of RAF Scampton - home of the Dambusters squadron during World War Two - near Scampton, Lincolnshire, could trigger a legal challenge. Its local Tory MP, Sir Edward Leigh, criticised the choice as a ""thoroughly bad idea"" and said the local authority would launch an immediate judicial review. A deal was agreed in March to allow West Lindsey District Council buy the base from the Ministry of Defence as part of a £300m regeneration project of the site for commercial activity, heritage, tourism and research. Foreign Secretary James Cleverly has previously criticised plans to house people at the base near the village of Wethersfield in his Essex constituency of Braintree. He said the site was ""inappropriate"" because it was remote and had limited transport infrastructure. The local authority has confirmed it is considering legal action. Former home secretary Priti Patel, who represents a neighbouring constituency, has also questioned the site's suitability. Bexhill and Battle MP Huw Merriman identified the East Sussex site as Northeye near Bexhill, which formerly housed an RAF property, a prison and a training centre. Government sources say each site will be able to house between 1,500 and 2,000 migrants, and initially are more likely to be used for new arrivals rather than to rehouse people currently in hotels.  Mr Jenrick said the sites would be used to house single adult males and stressed it was not his ""intention"" that minors will be taken there.  The current system of housing asylum seekers in hotels is deeply unpopular with many Conservative MPs. But the alternatives are also unpopular with a few. The lack of detail on exactly what the government is ""exploring"" by way of options for using ferries and barges certainly looks like it's caused some jitters. It was noted that several Tory MPs with ports or docks in their areas spoke out against the plans. It's also allowed the opposition to question if the much-trailed idea is really a runner at all. As for the two military sites, the opposition from local councils is fierce and seems it may be headed for the courts. The dilemma isn't going away though: people going through the asylum system need somewhere to live. The government has pinned its reputation on dealing with this issue so the prospect of some local fights, however fierce, is unlikely to put it off. Shadow home secretary Yvette Cooper said the government's announcement was an ""admission of failure"" and not a proposal to cut or provide an alternative to ""costly hotel use"". ""They've got this huge backlog of asylum decisions, so much so that 98% of last year's small boats arrivals simply haven't even been decided or processed."" Liberal Democrat leader Sir Ed Davey has accused the government of ""going after headlines"" while failing to solve the problem of people arriving in small boats. The Refugee Council believes the accommodation being suggested is ""entirely unsuitable"" to the needs of asylum seekers.  Alex Fraser, from the British Red Cross, said: ""Military sites, by their very nature, can re-traumatise people who have fled war and persecution"". Mr Sunak told his cabinet on Tuesday the cost of the current approach and pressure it put on local areas was not sustainable, according to No 10.  At a Commons liaison committee, the prime minister said children cannot be exempted from plans to detain people who cross the Channel in small boats to prevent the creation of a ""pull factor"". It comes as the government's asylum proposals laid out in the Illegal Migration Bill are being debated in Parliament.  The legislation aims to stop migrants claiming asylum in the UK if they arrive through unauthorised means, by crossing the English Channel in small boats.  People could be detained without bail or judicial review for 28 days before being removed to their home country or a safe third country like Rwanda.  The meteoric rise and dizzying fall of tycoon Arif Naqvi Greg Foot untangles some of the most common claims with the help of experts Richard Bilton investigates the problems Margaret Thatcher's right-to-buy policy is causing 40 years later Dr. Matthew Walker shares his tips for getting more sleep © 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",Controversial
"This video cannot be reproduced by Robert Jenrick's plans to use military bases ""that are eliminated"" face criticism from both sides of the commons. Three sites will be used, including two military bases, as migrant homes in an attempt to reduce the use of useof the hotel. The sites in Lincolnshire and Essex, plus another in East Sussex, could house ""several thousand,"" said immigration minister, Robert Jenrick. The government is ""exploring the possibility"" to use ferries, but no one has taken aFirm decision, he said. The Secretary of the Interior of Labor Shadow, Yvette Cooper, said that the announcement was ""an admission of failure"" in the asylum policy. It is likely that the plans are with the local opposition and have been criticized by parliamentarianswhose constituencies are affected, with a conservative who warns of the government a legal challenge would be launched.of illegal migrants above the British Peo",Controversial
"This video cannot be played by Robert Jenrick's plans to use the military bases ""which are eliminated"" from the criticism of the face on both sides of the outbuildings, three sites, including two ex-military, will be used as migrant housing inThe aim of reducing the use of the hotel. Lincolnshire and Essex sites, plus another in eastern Sussex, could house ""several thousand,"" said immigration minister Robert Jenrick.The government ""explores the possibility"" of using ferries but no firm decision has been made, he said. The secretary at the Maison de l'Embudi du Travail, Yvette Cooper, said that the announcementwas ""an admission of failure"" on the asylum policy. Plans are likely to respect the local opposition and were criticized by deputies whose constituencies are affected, with a conservative warning for the government a legal dispute would be launched.M.Jenrick told municipalities ""that the number of small boats had overwhelmed the asylum system"" and said that the government ""would not increase the well-being of illegal migrants above the British PEO",Controversial
"This video cannot be played by Robert Jenrick's plans to use military bases ""disposed of"" from both sides of the commons. Thirty locations, including two ex-military bases, are used as migrant housings to reduce the use of the hotel.In Lincolnshire and Essex as well as another in East Sussex, ""several thousand"" could accommodate ""several thousand"", said immigration minister Robert Jenrick. The government ""examines the opportunity"" to use ferries, but no fixed decision was made, he said.From Labor Shadow, said the announcement was ""an admission of failure"" in asylum policy. The plans are likely to meet the local opposition and have been criticized by MPs whose constituencies are affected.A conservative warning of the government would be a legal challenge. Lord Jenrick told the Commons that ""the sheer number of small boats had overwhelmed the asylum system"" and said that the government would not increase the well -being of illegal migrants above the British PEO",Controversial
"This video cannot be played, Robert Jenrick's plans to use military bases ""be disposed of"" from both sides of the Commons. Three sites, including two former military bases, will be used as migrating housing to the hotel useto reduce. Websites in Lincolnshire and Essex, plus one more in East Sussex, can house a few thousand, 'said Immigration Minister Robert Jenrick.he said. Yvette Cooper, secretary of labor shadow, said the announcement is ""an admission of failure"" to asylum policy. The plans are likely to meet in the local opposition and are criticized by MPs whose constituencies are affected, withOne conservative warning that the government is being launched a legal challenge.Jenrick told the Commons ""the large number of small boats overwhelmed the asylum system"" and said the government would ""not elevate the well -being of illegal migrants over the British PEO",Controversial
"Pope Francis has a respiratory infection and will need to spend a few days in hospital in Rome, the Vatican says. The 86-year-old had breathing difficulties in recent days but does not have Covid, a statement said. It said he would need ""a few days of appropriate hospital medical therapy"". ""Pope Francis is touched by the many messages received and expresses his gratitude for the closeness and prayer,"" the statement added. His closest staff, including security, are expected to stay the night at the Gemelli Hospital, a person with direct knowledge told the BBC. This is the busiest time of the year for Pope Francis, with many events and services scheduled ahead of Easter weekend. A Palm Sunday Mass is scheduled this weekend, and Holy Week and Easter celebrations next week.  He is also scheduled to visit Hungary at the end of April. On Wednesday morning, he presided over his weekly general audience in St Peter's Square. He appeared in good spirits but was seen grimacing as he was helped into his vehicle. The pontiff has used a wheelchair in recent months due to mobility problems related to his knee. He also underwent surgery to treat a colon problem in 2021. In January, he said the condition had returned. Despite his ailments, the Pope has remained active and has undertaken trips abroad. He visited the Democratic Republic of Congo and South Sudan in February.  In January, the Pope led the funeral of his predecessor Pope Benedict XVI - who was the first pope to step down voluntarily for centuries. He said this was due to ill health. Pope Francis has previously indicated that he may also wish to follow in Benedict's footsteps in the event that his health deteriorates. This video can not be played From February: BBC religion editor Aleem Maqbool witnesses the Pope's visit to Kinshasa The meteoric rise and dizzying fall of tycoon Arif Naqvi Greg Foot untangles some of the most common claims with the help of experts Richard Bilton investigates the problems Margaret Thatcher's right-to-buy policy is causing 40 years later Dr. Matthew Walker shares his tips for getting more sleep © 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",Informative
"Pope Francis has a respiratory infection and will need to spend a few days at the hospital in Rome, says the Vatican. The 86 -year -old player had respiratory difficulties in recent days, but does not have Covid, according to a statement. He said he would need ""a few daysOf appropriate hospital medical therapy. """" Pope Francis is touched by the many messages received and expresses his gratitude for closeness and prayer, ""added the declaration. It is expected that its closest personnel, including security, remain the night inThe Gemelli Hospital, a person with direct knowledge to the BBC said is the busiest time of the year for Pope Francis, with many programmed events and services before the Easter weekend. A Mass of Palm Sunday is scheduled thisweekend, and the celebrations of Holy Week and Easter next week.Humor, but he was seen a grimen while he was helped in",Informative
"Pope Francis has a respiratory infection and will have to spend a few days in the hospital in Rome, known as the Vatican. The 86 -year -old man has had breathing difficulties in recent days but has no cocovan, according to a press release.said he would need ""a few days of appropriate hospital medical therapy"". ""Pope Francis is affected by the many messages received and expresses his gratitude for proximity and prayer,"" added the press release.Close, including security, should stay at night at Gemelli Hospital, said a person with direct knowledge at the BBC. It is the busiest period of the year for Pope Francis, with many eventsAnd services scheduled before Easter weekend. A Sunday branch mass is scheduled for this weekend, as well as Holy Week and Easter celebrations next week. He must also visit Hungary at the end of April.He presided over his weekly general audience in St Peter's Square. He appeared in a good mood but was seen grimacing when he was helped",Informative
"Pope Francis has a respiratory infection and has to spend a few days in the hospital in Rome, says the Vatican. The 86-year-old has had breath difficulties in the past few days, but does not have covid, it says in an explanation.Appropriate hospital medical therapy ""need."" Pope Francis is touched by the many preserved messages and thanks for the proximity and prayer, ""added the explanation.In the Gemelli Hospital, a person with direct knowledge of the BBC. This is the busiest season for Pope Francis, in which many events and services are planned before the Easter weekend.. He is also supposed to visit Hungary at the end of April. At Wednesday morning he headed his weekly general audience at St. Peter's Square. He appeared in a good mood, but was seen distorted when he was helped",Informative
"Pope Francis has a breathing infection and will have to spend a few days in the hospital in Rome, says the Vatican.said that he will need a few days of appropriate hospital medical therapy. ""Closest staff, including safety, will remain at Gemelli Hospital the night, said a person with direct knowledge to the BBC.is a Palm Sunday mass is scheduled this weekend, and the Holy Week and Easter next week.but he was grimly seen when he was helped",Informative
